DeviceName,DeviceDateTime,BatteryStatus,CommId,GPS Confidence,GPS Fail Counter,GpsQuality,Latitude,Longitude
0-4351296,2023-03-10 05:04:50,GOOD,0-4351296,0,0,3,48.357739,-4.560528
0-4351902,2023-03-10 05:00:54,GOOD,0-4351902,0,0,3,48.357889,-4.560442
0-4351296,2023-03-10 04:59:45,GOOD,0-4351296,0,0,3,48.357696,-4.560549
0-4351902,2023-03-10 04:55:53,GOOD,0-4351902,0,0,3,48.357846,-4.560442
0-4351296,2023-03-10 04:54:46,GOOD,0-4351296,0,0,3,48.357696,-4.560549
0-4351902,2023-03-10 04:50:56,GOOD,0-4351902,0,0,3,48.357761,-4.560399
0-4351296,2023-03-10 04:49:51,GOOD,0-4351296,0,0,3,48.357696,-4.560614
0-4351902,2023-03-10 04:45:52,GOOD,0-4351902,0,0,3,48.357889,-4.560463
0-4351296,2023-03-10 04:44:46,GOOD,0-4351296,0,0,3,48.357696,-4.560635
0-4351902,2023-03-10 04:40:53,GOOD,0-4351902,0,0,3,48.357846,-4.560485
0-4351296,2023-03-10 04:39:48,GOOD,0-4351296,0,0,3,48.357675,-4.560678
0-4351902,2023-03-10 04:35:56,GOOD,0-4351902,0,0,3,48.357889,-4.560442
0-4351296,2023-03-10 04:34:48,GOOD,0-4351296,0,0,3,48.357718,-4.560678
0-4351902,2023-03-10 04:30:54,GOOD,0-4351902,0,0,3,48.357911,-4.560485
0-4351296,2023-03-10 04:29:49,GOOD,0-4351296,0,0,3,48.357686,-4.560721
0-4351902,2023-03-10 04:25:56,GOOD,0-4351902,0,0,3,48.357889,-4.560506
0-4351296,2023-03-10 04:24:49,GOOD,0-4351296,0,0,3,48.357643,-4.560742
0-4351902,2023-03-10 04:20:54,GOOD,0-4351902,0,0,3,48.357932,-4.560485
0-4351296,2023-03-10 04:19:48,GOOD,0-4351296,0,0,3,48.357664,-4.560785
0-4351902,2023-03-10 04:15:53,GOOD,0-4351902,0,0,3,48.357889,-4.560528
