,dt
164,1800.000003328
165,1800.000003328
166,1799.999993344
167,1800.000003328
168,1800.000003328
169,1799.999993344
170,1800.000003328
171,1800.000003328
172,1799.999993344
173,1800.000003328
174,1800.000003328
175,1799.999993344
176,1800.000003328
177,1800.000003328
178,1799.999993344
179,1800.000003328
180,1800.000003328
181,1799.999993344
182,1800.000003328
183,1800.000003328
184,1799.999993344
185,1800.000003328
186,1800.000003328
187,1799.999993344
188,1800.000003328
189,1800.000003328
190,1799.999993344
191,1800.000003328
192,1800.000003328
193,1799.999993344
194,1800.000003328
195,1800.000003328
196,1799.999993344
197,1800.000003328
198,1800.000003328
199,1799.999993344
200,1800.000003328
201,1800.000003328
202,1799.999993344
203,1800.000003328
204,1800.000003328
205,1799.999993344
206,1800.000003328
207,1800.000003328
208,1799.999993344
209,1800.000003328
210,1800.000003328
211,1799.999993344
212,1800.000003328
213,1800.000003328
214,1799.999993344
215,1800.000003328
216,1800.000003328
217,1799.999993344
218,1800.000003328
219,1800.000003328
220,1799.999993344
221,1800.000003328
222,1800.000003328
223,1799.999993344
225,1799.93677696
226,1799.936777088
227,1799.936786944
228,1799.93677696
229,1799.936777088
230,1799.93677696
231,1799.936786944
232,1799.936777088
233,1799.93677696
234,1799.93677696
235,1799.936787072
236,1799.93677696
237,1799.93677696
238,1799.93677696
239,1799.936787072
240,1799.93677696
241,1799.93677696
242,1799.93677696
243,1799.936787072
244,1799.93677696
245,1799.936777088
246,1799.93677696
247,1799.936786944
248,1799.936777088
249,1799.93677696
250,1799.936786944
251,1799.936777088
252,1799.93677696
253,1799.93677696
254,1799.936787072
255,1799.93677696
256,1799.93677696
257,1799.93677696
258,1799.936787072
259,1799.93677696
260,1799.93677696
261,1799.93677696
262,1799.936787072
263,1799.93677696
264,1799.93677696
265,1799.936777088
266,1799.936786944
267,1799.936777088
268,1799.93677696
269,1799.93677696
271,1799.938144896
272,1799.938134912
273,1799.938144896
274,1799.938144896
275,1799.938134912
276,1799.938144896
277,1799.938134784
278,1799.938144896
279,1799.938134912
280,1799.938144896
281,1799.938144896
282,1799.938134912
283,1799.938144896
284,1799.938134784
285,1799.938144896
286,1799.938144896
287,1799.938134912
288,1799.938144896
289,1799.938134784
290,1799.938144896
291,1799.938145024
292,1799.938134784
293,1799.938144896
294,1799.938134912
295,1799.938144896
296,1799.938144896
297,1799.938134784
298,1799.938144896
299,1799.938134912
300,1799.938144896
301,1799.938144896
302,1799.938134912
303,1799.938144896
304,1799.938134784
305,1799.938144896
306,1799.938134912
307,1799.938144896
308,1799.938144896
309,1799.938134912
310,1799.938144896
311,1799.938134784
312,1799.938144896
313,1799.938144896
314,1799.938134912
315,1799.938144896
316,1799.938134784
317,1799.938144896
318,1799.938145024
319,1799.938134784
320,1799.938144896
321,1799.938134912
322,1799.938144896
323,1799.938144896
324,1799.938134784
325,1799.938144896
326,1799.938134912
327,1799.938144896
328,1799.938134912
329,1799.938144896
330,1799.938144896
331,1799.938134784
332,1799.938144896
333,1799.938134912
334,1799.938144896
335,1799.938144896
336,1799.938134912
337,1799.938144896
338,1799.938134784
339,1799.938144896
340,1799.938144896
341,1799.938134912
342,1799.938144896
343,1799.938134784
344,1799.938144896
345,1799.938145024
346,1799.938134784
347,1799.938144896
348,1799.938134912
349,1799.938144896
350,1799.938144896
351,1799.938134784
352,1799.938144896
353,1799.938134912
354,1799.938144896
355,1799.938134912
356,1799.938144896
357,1799.938144896
358,1799.938134784
359,1799.938144896
360,1799.938134912
361,1799.938144896
362,1799.938144896
363,1799.938134912
364,1799.938144896
365,1799.938134784
366,1799.938144896
367,1799.938144896
368,1799.938134912
369,1799.938144896
370,1799.938134784
371,1799.938145024
372,1799.938144896
373,1799.938134784
374,1799.938144896
375,1799.938134912
376,1799.938144896
377,1799.938144896
378,1799.938134784
379,1799.938144896
380,1799.938134912
381,1799.938144896
382,1799.938134912
383,1799.938144896
384,1799.938144896
385,1799.938134784
386,1799.938144896
387,1799.938134912
388,1799.938144896
389,1799.938144896
390,1799.938134912
391,1799.938144896
392,1799.938134784
393,1799.938144896
394,1799.938144896
395,1799.938134912
396,1799.938144896
397,1799.938134784
398,1799.938145024
399,1799.938144896
400,1799.938134784
401,1799.938144896
402,1799.938134912
403,1799.938144896
404,1799.938144896
405,1799.938134784
406,1799.938144896
407,1799.938134912
408,1799.938144896
409,1799.938134912
410,1799.938144896
411,1799.938144896
412,1799.938134784
413,1799.938144896
414,1799.938134912
415,1799.938144896
416,1799.938144896
417,1799.938134912
418,1799.938144896
419,1799.938134784
420,1799.938144896
421,1799.938144896
422,1799.938134912
423,1799.938144896
424,1799.938134784
425,1799.938145024
426,1799.938144896
427,1799.938134784
428,1799.938144896
429,1799.938134912
430,1799.938144896
431,1799.938144896
432,1799.938134784
433,1799.938144896
434,1799.938134912
435,1799.938144896
436,1799.938134912
437,1799.938144896
438,1799.938144896
439,1799.938134784
440,1799.938144896
