,dt
13492,360.0
13493,720.0
13494,660.0
13495,480.0
13496,660.0
13497,720.0
13498,360.0
13499,720.0
13500,720.0
13501,420.0
13502,660.0
13503,720.0
13504,360.0
13505,720.0
13506,720.0
13507,420.0
13508,660.0
13509,720.0
13510,360.0
13511,720.0
13512,660.0
13513,480.0
13514,660.0
13515,720.0
13516,360.0
13517,720.0
13518,660.0
13519,480.0
13520,660.0
13521,720.0
13522,360.0
13523,720.0
13524,660.0
13525,480.0
13526,660.0
13527,720.0
13528,360.0
13529,720.0
13530,660.0
13531,480.0
13532,660.0
13533,720.0
13534,360.0
13535,720.0
13536,660.0
13537,480.0
13538,660.0
13539,720.0
13540,600.0
13541,660.0
13542,720.0
13543,240.0
13544,660.0
13545,720.0
13546,360.0
13547,720.0
13548,660.0
13549,480.0
13550,660.0
13551,720.0
13552,360.0
13553,720.0
13554,660.0
13555,480.0
13556,660.0
13557,720.0
13558,360.0
13559,720.0
13560,660.0
13561,480.0
13562,660.0
13563,720.0
13564,360.0
13565,660.0
13566,720.0
13567,480.0
13568,660.0
13569,720.0
13570,360.0
13571,660.0
13572,720.0
13573,480.0
13574,660.0
13575,720.0
13576,360.0
13577,660.0
13578,720.0
